綜合台,#genre#
DAZN 2,P2p://starvod.xyz:19806/f6c16916cc984a4b90e8b3a8b19c196b.ts
TRACE Sport Stars,P2p://starvod.xyz:19806/dd9205f69a734162b11eb09ff166bd11.ts
Z頻道,P2p://starvod.xyz:19806/fe966436d6b5437fbe0c4ff28929dea3.ts
博斯無限二臺,P2p://starvod.xyz:19806/abee6e474fd34b989f426970c95cd557.ts
博斯無限臺,P2p://starvod.xyz:19806/a0445d0c29614f47908585e8cdc7fc64.ts
博斯網球檯,P2p://starvod.xyz:19806/536f4715f5da4173a36537206de4612b.ts
博斯運動,P2p://starvod.xyz:19806/2385fe5d7dbe49668ebf7f3b236ede9d.ts
博斯運動二臺,P2p://starvod.xyz:19806/ecbdcee3dbbf45468043181eb97c33e1.ts
博斯高球,P2p://starvod.xyz:19806/09f7ad0419d34f9ea25e278a1286005f.ts
博斯高球二臺,P2p://starvod.xyz:19806/792ab26e2f804093b39370e6b1f7801d.ts
博斯魅力網,P2p://starvod.xyz:19806/bf15f818e80a4ff1a3b2514683884b9f.ts
愛爾達體育1臺,P2p://starvod.xyz:19806/1777f7d5b993434dbf9f4b32d0fdfccc.ts
愛爾達體育1臺(備),P2p://starvod.xyz:19806/99c335bdad724b0c9541931d096cb26c.ts
愛爾達體育2臺,P2p://starvod.xyz:19806/b84b8db7508046a5be4f85a3deeb76e3.ts
愛爾達體育2臺(備),P2p://starvod.xyz:19806/0eac9b5935fe43c19bca5c6649d13bd5.ts
愛爾達體育3臺,P2p://starvod.xyz:19806/2ebe626a42c147febd4291438b1d4917.ts
愛爾達體育3臺(備),P2p://starvod.xyz:19806/c4783bf978c44c43a503cf3507bb7d3d.ts
愛爾達體育4臺,P2p://starvod.xyz:19806/ffe2a9b06e18415dbc3483f399919fdb.ts
智林體育臺,P2p://starvod.xyz:19806/d233d3ca78fa48e193b47853ec433c5d.ts
緯來體育臺,P2p://starvod.xyz:19806/d301d07a53e8402eb7daf57c7940a848.ts

四台,#genre#
中視,P2p://starvod.xyz:19806/6836b92f0009e944e607b37f225e727f.ts
中視經典臺,P2p://starvod.xyz:19806/955231be876942298dd19156de280174.ts
中視菁採臺,P2p://starvod.xyz:19806/8462fd9b99c94a6bb0f4c1c9bf84e179.ts
公視,P2p://starvod.xyz:19806/9b573a1731d74eb6accc2505d18fc1c8.ts
公視3臺,P2p://starvod.xyz:19806/571f2b44c0374c95a68be042523cff7a.ts
公視臺語臺,P2p://starvod.xyz:19806/b14600af4b614c7882c1f8d1108fee19.ts
民視,P2p://starvod.xyz:19806/cd92cc6dfb0d4318965a3b54ad335fbb.ts
民視第一臺,P2p://starvod.xyz:19806/f0a026a709dd4a08aea9edc1dbce6437.ts
民視臺灣臺,P2p://starvod.xyz:19806/0ad1202aa2fe4fb4872479db5e384e46.ts
臺視,P2p://starvod.xyz:19806/9a00c255ab124b1a91d3ebbf57756d1e.ts
臺視綜合臺,P2p://starvod.xyz:19806/c37a6ec58dd140ccab0e25b94849ee06.ts
華視,P2p://starvod.xyz:19806/c2aa54f26921463ba6952a8ab0d3e9eb.ts

電影,#genre#
AXN,P2p://starvod.xyz:19806/94c08afcb0474394b971c7c8c22098c0.ts
CINEMAX,P2p://starvod.xyz:19806/a2d58a724bc1416a9e86a00fbf42c946.ts
CatchPlay電影臺,P2p://starvod.xyz:19806/20e031b96db245c1be9bcd726ecff14a.ts
CinemaWorld,P2p://starvod.xyz:19806/f710490e7aa845debe8f2d3eb7b78650.ts
HBO,P2p://starvod.xyz:19806/1b71ff50d5e44f58978cc2f2fa5bcc5b.ts
HBO Family,P2p://starvod.xyz:19806/138a2d9dcb1f40f1a60ef1c35e54fd2d.ts
HBO原創鉅獻,P2p://starvod.xyz:19806/c0d32e65e1bf48da9e459d04bdc56c64.ts
HBO強檔鉅獻,P2p://starvod.xyz:19806/80246e532ee44561851bed6006c75b33.ts
amc電影臺,P2p://starvod.xyz:19806/52930472d7b3405e8d5a9ef65e152631.ts
壹電視電影臺,P2p://starvod.xyz:19806/fb7131d67e54407a93bba57d9054e7c8.ts
好萊塢電影臺,P2p://starvod.xyz:19806/abc64c3a4cfa4d50aae143f84bd06c6a.ts
影迷數位電影臺,P2p://starvod.xyz:19806/846738e98982471ca03ca5d6abe62007.ts
東森洋片臺,P2p://starvod.xyz:19806/9da0e7fcb6f94274a6f0f4f8bd7eba61.ts
東森電影臺,P2p://starvod.xyz:19806/9daca0a7902c455fb2252dfb68a77264.ts
緯來電影臺,P2p://starvod.xyz:19806/48b6adc010444ff19a26b8f6a70255b3.ts
罪案偵緝頻道,P2p://starvod.xyz:19806/361ba8ae21604cd8bad50645c36b593c.ts
美亞電影臺HD,P2p://starvod.xyz:19806/89874674013e4b30bc075f4e2050c766.ts
靖天電影臺,P2p://starvod.xyz:19806/ce4172c9f6c34e48910843ce7d90458b.ts
龍祥電影,P2p://starvod.xyz:19806/548e1c3da858445393b6591ced609781.ts
龍華電影,P2p://starvod.xyz:19806/574ee66b78d44e6e81450ae523041523.ts

戲劇,#genre#
EYE TV戲劇臺,P2p://starvod.xyz:19806/3af16129ea6f4e41b7fa6cc4961d1881.ts
三立戲劇臺,P2p://starvod.xyz:19806/3ef68a8194e04993a41501258b99a107.ts
八大戲劇臺,P2p://starvod.xyz:19806/46e7eb5599404c4095561068cbaed8f3.ts
愛爾達影劇臺,P2p://starvod.xyz:19806/e724afeaabf9442395119616a9a9ee3e.ts
採昌影劇臺,P2p://starvod.xyz:19806/3b5ea47e97aa46b589983ddb1e4c9a40.ts
東森戲劇臺,P2p://starvod.xyz:19806/0ed2b2147c7448eb9e1c3576f8d8ae83.ts
緯來戲劇臺,P2p://starvod.xyz:19806/6fb88ea051cd42bd9ed1c2fc20869ef7.ts
靖天戲劇臺,P2p://starvod.xyz:19806/2ba8f7ea8f474de28cad4a31526ad11b.ts
靖洋戲劇臺,P2p://starvod.xyz:19806/7d9fa59506ff48b5a307fa1189e9a3fe.ts
龍華偶像,P2p://starvod.xyz:19806/77abe54bdc8a4fc896c80a92fb283932.ts
龍華戲劇,P2p://starvod.xyz:19806/6a6681f04fcc4478886cded08a10c658.ts

兒童,#genre#
Animax,P2p://starvod.xyz:19806/5beb64b820ba4186afd4cba92f498d07.ts
CN卡通頻道,P2p://starvod.xyz:19806/4d1d2ecae7f94320a485136c48eb9315.ts
MOMO親子臺,P2p://starvod.xyz:19806/f6b2f419c63c429f82c93bef5767eed1.ts
Nick Jr.,P2p://starvod.xyz:19806/1ceea9c1559b4bea99fca450557e3838.ts
i-Fun動漫臺,P2p://starvod.xyz:19806/92ace855ba4b4ad7ab44089e3898eda4.ts
尼克兒童頻道,P2p://starvod.xyz:19806/578d3e6522bb4dcdaaee5c01246a89d6.ts
東森幼幼臺,P2p://starvod.xyz:19806/655568da0b2d48d48c1460ab03bb2289.ts
達文西頻道,P2p://starvod.xyz:19806/5689b9e7fcc5474bb690bbb78a4975b4.ts
靖天卡通臺,P2p://starvod.xyz:19806/8f9e5bafe1b5452f9eb3d20e1b5346dd.ts
靖洋卡通Nice Bingo,P2p://starvod.xyz:19806/266ebf719ec046fb8dba80a8ec8b8806.ts

旅遊探索,#genre#
BBC Earth,P2p://starvod.xyz:19806/d224bc93c97946d387701bbcf165afad.ts
BBC Lifestyle,P2p://starvod.xyz:19806/292c0515ef294ea194f92fbc4f438879.ts
CLASSICA 古典樂,P2p://starvod.xyz:19806/2f9c4c6f2aee4136bd3010346f0b96ed.ts
DMAX,P2p://starvod.xyz:19806/56e37d8b586d4cfbb38b61a1fbf5e379.ts
Discovery Asia,P2p://starvod.xyz:19806/8c1933ac5c9a49fb891423336a6f42c5.ts
Discovery科學頻道,P2p://starvod.xyz:19806/e34a7034b690468a8797abbe8ce607b2.ts
ELTV生活英語臺,P2p://starvod.xyz:19806/93ebc4c952e84057a477b38db1e91b36.ts
EYE TV旅遊臺,P2p://starvod.xyz:19806/d81b21f72705424badcf98dfcef332f4.ts
HGTV居家樂活頻道,P2p://starvod.xyz:19806/21eb83d773344e3cae6316288af3818c.ts
Lifetime,P2p://starvod.xyz:19806/819f1d3fb92741c0b5caf39b5b8b165f.ts
Love Nature,P2p://starvod.xyz:19806/ba87030233c046908d7c7bfaa3ff9df6.ts
Mezzo Live,P2p://starvod.xyz:19806/e225423bad0b47e0a3c5669e3b6c7bb4.ts
亞洲旅遊臺,P2p://starvod.xyz:19806/08f86dfe7a7f42d7ad10051157d8a4c5.ts
亞洲美食頻道,P2p://starvod.xyz:19806/b44f9ba7be254cb48efeee691982f60e.ts
動物星球,P2p://starvod.xyz:19806/031368515cad4414a1f0429357a69d22.ts
探索頻道,P2p://starvod.xyz:19806/3dd114a2f6534af997c08015c712b218.ts
歷史頻道,P2p://starvod.xyz:19806/fc9dade0814048cfb5d26e9ef06b3e28.ts
美食星球,P2p://starvod.xyz:19806/9d27c39385aa4b3cb200048b671e376b.ts

