
「4g线路1」,#genre#
TVBS欢乐台,http://95.179.139.113:5566/4gtv/184
尼克儿童频道,http://95.179.139.113:5566/4gtv/185
HITS频道,http://95.179.139.113:5566/4gtv/186
LiveABC互动英语频道,http://95.179.139.113:5566/4gtv/188
ARIRANG阿里郎频道,http://95.179.139.113:5566/4gtv/189
经典电影台,http://95.179.139.113:5566/4gtv/201
经典卡通台,http://95.179.139.113:5566/4gtv/202
精选动漫台,http://95.179.139.113:5566/4gtv/204
大爱电视,http://95.179.139.113:5566/4gtv/209
人间卫视,http://95.179.139.113:5566/4gtv/210
影迷数位纪实台,http://95.179.139.113:5566/4gtv/212
MTV Live HD 音乐频道,http://95.179.139.113:5566/4gtv/213
History 历史频道,http://95.179.139.113:5566/4gtv/214
CI 罪案侦查频道,http://95.179.139.113:5566/4gtv/215
Lifetime 娱乐频道,http://95.179.139.113:5566/4gtv/217
电影原声台CMusic,http://95.179.139.113:5566/4gtv/218
Nick Jr.儿童频道,http://95.179.139.113:5566/4gtv/219
XTR亚太台,http://95.179.139.113:5566/4gtv/223
SBN全球财经台,http://95.179.139.113:5566/4gtv/224
CinemaWorld,http://95.179.139.113:5566/4gtv/225
DW德国之声,http://95.179.139.113:5566/4gtv/226
TVBS精采台,http://95.179.139.113:5566/4gtv/227
三立新闻iNEWS,http://95.179.139.113:5566/4gtv/229
大爱二台,http://95.179.139.113:5566/4gtv/230
MOMO亲子台,http://95.179.139.113:5566/4gtv/231
CNBC Asia 财经台,http://95.179.139.113:5566/4gtv/235
金光布袋戏,http://95.179.139.113:5566/4gtv/236
爱尔达生活旅游,http://95.179.139.113:5566/4gtv/237
戏剧免费看 2台,http://95.179.139.113:5566/4gtv/244
电影免费看 2台,http://95.179.139.113:5566/4gtv/245
民视,http://95.179.139.113:5566/4gtv/246
滚动力rollor,http://95.179.139.113:5566/4gtv/249
亚洲旅游台,http://95.179.139.113:5566/4gtv/250
Global Trekker,http://95.179.139.113:5566/4gtv/252
民视第一台,http://95.179.139.113:5566/4gtv/254
民视台湾台,http://95.179.139.113:5566/4gtv/255
华视新闻,http://95.179.139.113:5566/4gtv/256
民视新闻台,http://95.179.139.113:5566/4gtv/257
中视新闻,http://95.179.139.113:5566/4gtv/258
中天新闻台,http://95.179.139.113:5566/4gtv/260
亚洲旅游台,http://95.179.139.113:5566/4gtv/261
镜电视新闻台,http://95.179.139.113:5566/4gtv/268
儿童卡通台,http://95.179.139.113:5566/4gtv/269
戏剧免费看 1台,http://95.179.139.113:5566/4gtv/270
原住民族电视台,http://95.179.139.113:5566/4gtv/273
fun探索娱乐台,http://95.179.139.113:5566/4gtv/274
ROCK Entertainment,http://95.179.139.113:5566/4gtv/275
时尚运动X,http://95.179.139.113:5566/4gtv/277
超人力霸王整套看,http://95.179.139.113:5566/4gtv/278
花系列 经典剧场,http://95.179.139.113:5566/4gtv/279
寰宇新闻台湾台,http://95.179.139.113:5566/4gtv/280
寰宇财经台,http://95.179.139.113:5566/4gtv/281
DreamWorks 梦工厂动画,http://95.179.139.113:5566/4gtv/282
Bloomberg TV,http://95.179.139.113:5566/4gtv/283
TVBS综艺台,http://95.179.139.113:5566/4gtv/284
TVBS台剧台,http://95.179.139.113:5566/4gtv/285
东森购物四台,http://95.179.139.113:5566/4gtv/286
东森购物三台,http://95.179.139.113:5566/4gtv/287
Globetrotter 环游旅行家,http://95.179.139.113:5566/4gtv/288
TVBS新闻台,http://95.179.139.113:5566/4gtv/291
东森新闻台,http://95.179.139.113:5566/4gtv/292
东森财经新闻台,http://95.179.139.113:5566/4gtv/293

「线路2」,#genre#

民視,http://209.146.124.22:8891/litv/4gtv-4gtv155
民視第一台,http://209.146.124.22:8891/litv/4gtv-4gtv003
民視新聞台,http://209.146.124.22:8891/litv/litv-ftv13
民視台灣台,http://209.146.124.22:8891/litv/4gtv-4gtv001
民視影劇台,http://209.146.124.22:8891/litv/litv-ftv09
民視旅遊台,http://209.146.124.22:8891/litv/litv-ftv07
民視綜藝台,http://209.146.124.22:8891/litv/4gtv-4gtv004
中視,http://209.146.124.22:8891/litv/4gtv-4gtv040
中視新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv074
中視經典台,http://209.146.124.22:8891/litv/4gtv-4gtv080
中視菁采台,http://209.146.124.22:8891/litv/4gtv-4gtv064
中天新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv009
中天亞洲台,http://209.146.124.22:8891/litv/4gtv-4gtv109
華視,http://209.146.124.22:8891/litv/4gtv-4gtv041
華視新聞,http://209.146.124.22:8891/litv/4gtv-4gtv052
靖天綜合台,http://209.146.124.22:8891/litv/4gtv-4gtv046
靖天國際台,http://209.146.124.22:8891/litv/4gtv-4gtv063
靖天戲劇台,http://209.146.124.22:8891/litv/4gtv-4gtv058
靖天日本台,http://209.146.124.22:8891/litv/4gtv-4gtv047
靖天映畫台,http://209.146.124.22:8891/litv/4gtv-4gtv055
靖天卡通台,http://209.146.124.22:8891/litv/4gtv-4gtv044
靖天育樂台,http://209.146.124.22:8891/litv/4gtv-4gtv062
靖天資訊台,http://209.146.124.22:8891/litv/4gtv-4gtv065
靖天電影台,http://209.146.124.22:8891/litv/4gtv-4gtv061
靖天歡樂台,http://209.146.124.22:8891/litv/4gtv-4gtv054
龍華偶像台,http://209.146.124.22:8891/litv/litv-longturn12
龍華卡通台,http://209.146.124.22:8891/litv/litv-longturn01
龍華戲劇台,http://209.146.124.22:8891/litv/litv-longturn18
龍華日韓台,http://209.146.124.22:8891/litv/litv-longturn11
龍華經典台,http://209.146.124.22:8891/litv/litv-longturn21
龍華電影台,http://209.146.124.22:8891/litv/litv-longturn03
靖洋戲劇台,http://209.146.124.22:8891/litv/4gtv-4gtv045
靖洋卡通 Nice Bingo,http://209.146.124.22:8891/litv/4gtv-4gtv057
寰宇新聞台,http://209.146.124.22:8891/litv/litv-longturn14
寰宇新聞台灣台,http://209.146.124.22:8891/litv/litv-longturn15
寰宇財經台,http://209.146.124.22:8891/litv/litv-longturn23
TVBS,http://209.146.124.22:8891/litv/4gtv-4gtv073
TVBS 新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv072
TVBS 綜藝台,http://209.146.124.22:8891/4gtv/284
TVBS 歡樂台,http://209.146.124.22:8891/litv/4gtv-4gtv068
TVBS 精采台,http://209.146.124.22:8891/litv/4gtv-4gtv067
TVBS 台劇台,http://209.146.124.22:8891/4gtv/285
八大精彩台,http://209.146.124.22:8891/litv/4gtv-4gtv034
八大綜藝台,http://209.146.124.22:8891/litv/4gtv-4gtv039
三立新聞,http://209.146.124.22:8891/4gtv/229
三立綜合台,http://209.146.124.22:8891/4gtv/169
台視,http://209.146.124.22:8891/litv/4gtv-4gtv066
台視新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv051
台視財經台,http://209.146.124.22:8891/litv/4gtv-4gtv056
博斯運動一台,http://209.146.124.22:8891/litv/litv-longturn07
博斯運動二台,http://209.146.124.22:8891/litv/litv-longturn08
博斯無限台,http://209.146.124.22:8891/litv/litv-longturn10
博斯無限二台,http://209.146.124.22:8891/litv/litv-longturn13
博斯網球台,http://209.146.124.22:8891/litv/litv-longturn09
博斯高球台,http://209.146.124.22:8891/litv/litv-longturn05
博斯高球二台,http://209.146.124.22:8891/litv/litv-longturn06
博斯魅力台,http://209.146.124.22:8891/litv/litv-longturn04
ELTA 娛樂台,http://209.146.124.22:8891/litv/4gtv-4gtv070
ELTA 生活旅遊,http://209.146.124.22:8891/4gtv/237
ELTA生活英語,http://209.146.124.22:8891/litv/litv-longturn20
東森新聞,http://209.146.124.22:8891/litv/4gtv-4gtv152
東森財經新聞,http://209.146.124.22:8891/litv/4gtv-4gtv153
非凡新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv010
非凡商業台,http://209.146.124.22:8891/litv/4gtv-4gtv048
鏡電視新聞台,http://209.146.124.22:8891/litv/4gtv-4gtv075
CNBC Asia 財經台,http://209.146.124.22:8891/4gtv/235
亞洲旅遊台,http://209.146.124.22:8891/litv/litv-longturn17
GINX Esports TV,http://209.146.124.22:8891/litv/4gtv-4gtv053
TechStorm,http://209.146.124.22:8891/4gtv/181
時尚運動X,http://209.146.124.22:8891/4gtv/277
智林體育台,http://209.146.124.22:8891/litv/4gtv-4gtv101
TraceSports,http://209.146.124.22:8891/litv/4gtv-4gtv077
影迷數位紀實台,http://209.146.124.22:8891/4gtv/212
影迷數位電影台,http://209.146.124.22:8891/litv/4gtv-4gtv011
AMC 最愛電影,http://209.146.124.22:8891/litv/4gtv-4gtv017
CatchPlay 電影台,http://209.146.124.22:8891/litv/4gtv-4gtv076
My Cinema Europe HD 我的歐洲電影,http://209.146.124.22:8891/4gtv/176
公視戲劇台,http://209.146.124.22:8891/litv/4gtv-4gtv042
采昌影劇台,http://209.146.124.22:8891/litv/4gtv-4gtv049
台灣戲劇台,http://209.146.124.22:8891/litv/litv-longturn22
戲劇免費看 1台,http://209.146.124.22:8891/4gtv/270
戲劇免費看 2台,http://209.146.124.22:8891/4gtv/244
經典電影台,http://209.146.124.22:8891/4gtv/201
電影免費看 2台,http://209.146.124.22:8891/4gtv/245
電影原聲台 CMusic,http://209.146.124.22:8891/4gtv/218
花系列 經典劇場,http://209.146.124.22:8891/4gtv/279
CinemaWorld,http://209.146.124.22:8891/4gtv/225
HITS 頻道,http://209.146.124.22:8891/4gtv/186
