綜合台,#genre#
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS新聞HD,http://122.117.71.103:8662/http/61.222.53.250%3A8081/hls/75/817/ch59.m3u8
TVBS新聞HD,http://211.23.114.106:8510/http/61.219.99.20%3A8081/hls/75/817/ch59.m3u8
TVBS新聞HD,http://220.134.196.147:8542/http/61.219.99.20%3A8081/hls/75/817/ch59.m3u8
三立新聞HD,http://122.117.71.103:8683/http/61.222.53.250%3A8081/hls/65/807/ch18.m3u8
三立新聞HD,http://220.134.196.147:8541/http/61.219.99.20%3A8081/hls/65/807/ch18.m3u8
中天新聞,http://122.117.71.103:8661/http/61.222.53.250%3A8081/hls/78/80/ch63max.m3u8
中天新聞,http://220.134.196.147:8567/http/61.219.99.20%3A8081/hls/78/80/ch63max.m3u8
中天新聞,http://222.128.55.152:9080/live/fc.m3u8
中天新聞,http://aktv_stream1.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
亞洲新聞,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亞洲新聞,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
壹新聞,http://122.117.71.103:8686/http/61.222.53.250%3A8081/hls/66/808/ch24.m3u8
壹新聞,http://220.134.196.147:8501/http/61.219.99.20%3A8081/hls/66/808/ch24.m3u8
寰宇新聞,http://122.117.71.103:8685/http/61.222.53.250%3A8081/hls/76/818/ch62.m3u8
寰宇新聞,http://220.134.196.147:8548/http/61.219.99.20%3A8081/hls/76/818/ch62.m3u8
寰宇新聞,http://222.128.55.152:9080/live/hy.m3u8
年代新聞,http://122.117.71.103:8659/http/61.222.53.250%3A8081/hls/67/809/ch27.m3u8
年代新聞,http://220.134.196.147:8538/http/61.219.99.20%3A8081/hls/67/809/ch27.m3u8
東森新聞HD,http://122.117.71.103:8660/http/61.222.53.250%3A8081/hls/63/805/ch10.m3u8
東森新聞HD,http://220.134.196.147:8527/http/61.219.99.20%3A8081/hls/63/805/ch10.m3u8
東森財經HD,http://122.117.71.103:8684/http/61.222.53.250%3A8081/hls/63/805/ch11.m3u8
東森財經HD,http://220.134.196.147:8525/http/61.219.99.20%3A8081/hls/63/805/ch11.m3u8
民視新聞,http://122.117.71.103:8682/http/61.222.53.250%3A8081/hls/85/80/FtvNews4max.m3u8
民視新聞,http://220.134.196.147:8519/http/61.219.99.20%3A8081/hls/85/80/FtvNews4max.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民視新聞,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
台視新聞,http://222.128.55.152:9080/live/ts.m3u8
台視新聞,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
鏡電視新聞台,http://122.117.71.103:8697/http/61.222.53.250%3A8092/upload/114/MNEWS_TS-1111_1.m3u8
鏡電視新聞台,http://211.23.114.106:8545/http/61.219.99.20%3A8092/upload/114/MNEWS_TS-1111_1.m3u8
鏡電視新聞台,http://220.134.196.147:8561/http/61.219.99.20%3A8092/upload/114/MNEWS_TS-1111_1.m3u8
非凡商業,http://122.117.71.103:8665/http/61.222.53.250%3A8081/hls/74/816/ch56.m3u8
非凡商業HD,http://220.134.196.147:8511/http/61.219.99.20%3A8081/hls/74/816/ch56.m3u8
非凡新聞,http://122.117.71.103:8664/http/61.222.53.250%3A8081/hls/75/817/ch57.m3u8
非凡新聞HD,http://220.134.196.147:8571/http/61.219.99.20%3A8081/hls/75/817/ch57.m3u8

體育,#genre#
DAZN 1,http://211.23.114.106:8523/http/59.120.8.187%3A8078/hls/25/80/esport.m3u8
DAZN 1,http://220.134.196.147:9120/http/59.120.8.187%3A8078/hls/25/80/esport.m3u8
DAZN 1  HD,http://122.117.71.103:8695/http/61.222.53.250%3A8078/hls/25/80/esport.m3u8
DAZN 2,http://211.23.114.106:8555/http/59.120.8.187%3A8078/hls/26/80/esport2.m3u8
DAZN 2,http://220.134.196.147:9119/http/59.120.8.187%3A8078/hls/26/80/esport2.m3u8
DAZN 2  HD,http://122.117.71.103:8696/http/61.222.53.250%3A8078/hls/26/80/esport2.m3u8
Trace Sport Stars,http://122.117.71.103:8626/http/61.222.53.250%3A8092/upload/212/TraceS_TS-1111_1.m3u8
Trace Sport Stars,http://211.23.114.106:8505/http/61.219.99.20%3A8092/upload/212/TraceS_TS-1111_1.m3u8
Trace Sport Stars,http://220.134.196.147:8569/http/61.219.99.20%3A8092/upload/212/TraceS_TS-1111_1.m3u8
博斯運動一,http://122.117.71.103:8693/http/61.222.53.250%3A8068/hls/15/80/cstv15.m3u8
博斯運動一,http://211.23.114.106:8518/http/59.120.8.187%3A8068/hls/15/80/cstv15.m3u8
博斯運動一,http://220.134.196.147:8564/http/61.219.99.20%3A8068/hls/15/80/cstv15.m3u8
緯來體育HD,http://122.117.71.103:8692/http/61.222.53.250%3A8081/hls/67/809/ch28.m3u8
緯來體育HD,http://211.23.114.106:8528/http/59.120.8.187%3A8081/hls/67/809/ch28.m3u8
緯來體育HD,http://220.134.196.147:8553/http/59.120.8.187%3A8081/hls/67/809/ch28.m3u8

四台,#genre#
中視HD,http://122.117.71.103:8630/http/61.222.53.250%3A8081/hls/88/80/Ctv4max.m3u8
中視HD,http://211.23.114.106:8534/http/61.219.99.20%3A8081/hls/88/80/Ctv4max.m3u8
中視HD,http://220.134.196.147:8510/http/61.219.99.20%3A8081/hls/88/80/Ctv4max.m3u8
公視,http://122.117.71.103:8624/http/61.222.53.250%3A8081/hls/87/80/Pts4max.m3u8
公視,http://211.23.114.106:8550/http/61.219.99.20%3A8081/hls/87/80/Pts4max.m3u8
公視,http://220.134.196.147:8554/http/61.219.99.20%3A8081/hls/87/80/Pts4max.m3u8
民視HD,http://122.117.71.103:8623/http/61.222.53.250%3A8081/hls/85/80/Ftv4max.m3u8
民視HD,http://211.23.114.106:8501/http/61.219.99.20%3A8081/hls/85/80/Ftv4max.m3u8
民視HD,http://220.134.196.147:9574/http/61.219.99.20%3A8081/hls/85/80/Ftv4max.m3u8
台視HD,http://220.134.196.147:9110/http/61.219.99.20%3A8081/hls/86/80/Ttv4max.m3u8
華視HD,http://122.117.71.103:8622/http/61.222.53.250%3A8081/hls/89/80/Cts4max.m3u8
華視HD,http://211.23.114.106:8504/http/61.219.99.20%3A8081/hls/89/80/Cts4max.m3u8
華視HD,http://220.134.196.147:8539/http/61.219.99.20%3A8081/hls/89/80/Cts4max.m3u8

電影,#genre#
AMC 電影台,http://122.117.71.103:8671/http/61.222.53.250%3A8092/upload/115/AMC_TS-1111_1.m3u8
AMC 電影台,http://211.23.114.106:9359/http/61.219.99.20%3A8092/upload/115/AMC_TS-1111_1.m3u8
AMC 電影台,http://220.134.196.147:8521/http/61.219.99.20%3A8092/upload/115/AMC_TS-1111_1.m3u8
AMC電影,http://61.221.215.25:8800/hls/43/index.m3u8
