新聞台,#genre#
(美)國家地理頻道2Ⓨ,https://m.youtube.com/@NatGeo/streams/2$logo=https://yt3.googleusercontent.com/bOmqDNEBUJods7e6RnKi8ML_8-IW39uBuHwURGrPstqnu3X_iyO02EedWwQx2jpvBpK9HNax=s160-c-k-c0x00ffffff-no-rj
(美)國家地理頻道Ⓨ,https://m.youtube.com/@NatGeo/streams/1$logo=https://yt3.googleusercontent.com/bOmqDNEBUJods7e6RnKi8ML_8-IW39uBuHwURGrPstqnu3X_iyO02EedWwQx2jpvBpK9HNax=s160-c-k-c0x00ffffff-no-rj
Discovery HD,http://49.0.64.96:8007/Discovery
TRAVEL &amp; TASTE,https://b27a6dd8a86c3e4ba93fbae22aaaac64.pmqrop.channel-assembly.mediatailor.ap-southeast-1.amazonaws.com/v1/channel/FAST_5/dash.mpd
TravelXP 4K,http://95.67.12.82:9086
探索動力DMAX,http://robyang.serv00.net/ublive.php?id=335
探索科學-2,http://robyang.serv00.net/ublive.php?id=3275
視納華仁紀實,http://robyang.serv00.net/ublive.php?id=91
others,#genre#
Fashion TV UHD (2160p),https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
Outdoor,http://robyang.serv00.net/ublive.php?id=1368
Reteveneta (480p),https://59d7d6f47d7fc.streamlock.net/reteveneta/reteveneta/playlist.m3u8
三立iNEWS,https://www.ofiii.com/channel/watch/iNEWS
中天電視2臺,http://cdn.iptv8k.top/dl/jspd.php?id=23
人間衛視,http://robyang.serv00.net/ublive.php?id=101
大愛一臺-全球直播Ⓨ,https://m.youtube.com/watch?v=MIqUplvSRWA$logo=https://yt3.ggpht.com/9V0BMf9XzqzWCmyNxFPmpLTrDoIJdZFx7L8fZ8AW1gEhdghnYWaLDFkG88z5yTDkwK3BAqMyZg=s176-c-k-c0x00ffffff-no-rj
大愛一臺-臺灣直播Ⓨ(🇹🇼),https://m.youtube.com/watch?v=oV_i3Hsl_zg$logo=https://yt3.ggpht.com/9V0BMf9XzqzWCmyNxFPmpLTrDoIJdZFx7L8fZ8AW1gEhdghnYWaLDFkG88z5yTDkwK3BAqMyZg=s176-c-k-c0x00ffffff-no-rj
大愛二臺-全球直播Ⓨ,https://m.youtube.com/watch?v=DTNkEm6jaqQ$logo=https://yt3.ggpht.com/9V0BMf9XzqzWCmyNxFPmpLTrDoIJdZFx7L8fZ8AW1gEhdghnYWaLDFkG88z5yTDkwK3BAqMyZg=s176-c-k-c0x00ffffff-no-rj
大愛二臺-臺灣直播Ⓨ(🇹🇼),https://m.youtube.com/watch?v=OKvWtVoDR8I$logo=https://yt3.ggpht.com/9V0BMf9XzqzWCmyNxFPmpLTrDoIJdZFx7L8fZ8AW1gEhdghnYWaLDFkG88z5yTDkwK3BAqMyZg=s176-c-k-c0x00ffffff-no-rj
大愛電視,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8
大愛電視,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
大愛電視,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV48.m3u8
好消息,http://robyang.serv00.net/ublive.php?id=104
東森亞洲,http://robyang.serv00.net/ublive.php?id=3
東森亞洲呦呦,http://robyang.serv00.net/ublive.php?id=293
東森購物1,https://www.ofiii.com/channel/watch/4gtv-4gtv102
東森購物2,https://www.ofiii.com/channel/watch/4gtv-4gtv103
東森購物2臺,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV19.m3u8
