新聞臺7491,#genre#
民視臺灣臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=469
民視臺灣臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=255
民視臺灣臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=2
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=3
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=246
民視,https://ha.msbot.dpdns.org/4gtv_api.php?id=468
民視綜藝臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=16
民視旅遊臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=61
民視影劇臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=24
民視健康美麗生活-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=376
民視生活通-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=387
公視戲劇,https://ha.msbot.dpdns.org/4gtv_api.php?id=7
公視好劇-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=337
綜合臺1,#genre#
TVBS精采臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=227
TVBS,https://ha.msbot.dpdns.org/4gtv_api.php?id=183
TVBS,https://ha.msbot.dpdns.org/4gtv_api.php?id=472
TVBS歡樂臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=184
TVBS綜藝臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=476
TVBS臺劇臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=477
TVBS看板人物-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=394
八大綜藝臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=114
八大綜藝臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=276
八大精彩臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=172
三立綜合臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=169
靖天綜合臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=21
靖天日本臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=22
靖天育樂臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=83
綜合臺2,#genre#
金光布袋戲,https://ha.msbot.dpdns.org/4gtv_api.php?id=236
金光布袋戲-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=339
靖天資訊臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=88
fun探索娛樂臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=274
KLT-靖天國際臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=84
Nice TV 靖天歡樂臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=119
戲劇,#genre#
採昌影劇臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=25
靖天戲劇臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=116
靖洋戲劇臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=118
電影,#genre#
靖天映畫,https://ha.msbot.dpdns.org/4gtv_api.php?id=42
靖天電影臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=82
影迷數位電影臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=40
amc電影臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=39
CI 罪案偵查頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=215
CinemaWorld,https://ha.msbot.dpdns.org/4gtv_api.php?id=225
HITS頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=186
My Cinema Europe HD 我的歐洲電影,https://ha.msbot.dpdns.org/4gtv_api.php?id=463
兒童,#genre#
尼克兒童頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=185
靖天卡通臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=15
靖洋卡通Nice Bingo,https://ha.msbot.dpdns.org/4gtv_api.php?id=59
DreamWorks 夢工廠動畫,https://ha.msbot.dpdns.org/4gtv_api.php?id=282
MOMO親子精選-FastTV飛速看,https://ha.msbot.dpdns.org/4gtv_api.php?id=484
MOMO親子臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=231
Nick Jr. 兒童頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=219
音樂旅遊生活,#genre#
亞洲旅遊臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=250
亞洲旅遊臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=261
愛爾達生活旅遊臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=237
CLASSICA 古典樂,https://ha.msbot.dpdns.org/4gtv_api.php?id=80
ELTV生活英語臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=490
History 歷史頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=214
LiveABC互動英語頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=188
Mezzo Live HD,https://ha.msbot.dpdns.org/4gtv_api.php?id=79
TV5MONDE STYLE HD 生活時尚,https://ha.msbot.dpdns.org/4gtv_api.php?id=178
探索,#genre#
視納華仁紀實頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=38
滾動力rollor,https://ha.msbot.dpdns.org/4gtv_api.php?id=249
影迷數位紀實臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=445
香蕉直擊臺,https://ha.msbot.dpdns.org/4gtv_api.php?id=94
ROCK Xstream搖滾極限頻道,https://ha.msbot.dpdns.org/4gtv_api.php?id=485

